meeting_key,session_key,driver_number,lap,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed,lap_time_sec,track_position,compound,stint,stint_change,pit_api,pit_flag,tire_age,lap_time_delta,rolling_pace,degradation
1219,9158,16,2,2023-09-15 09:33:18.762000+00:00,28.661,41.605,27.958,304.0,274,False,98.224,"[2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]",293.0,98.224,,HARD,1,False,0.0,0,0,,,0.0
1219,9158,16,4,2023-09-15 09:37:19.680000+00:00,28.144,40.735,27.489,306.0,275,False,96.368,"[2048, 2049, 2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2051, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2048, 2049, 2049, 2049]",295.0,96.368,8.0,HARD,1,False,0.0,0,1,-1.8560000000000088,,-1.8560000000000088
1219,9158,16,6,2023-09-15 09:41:50.050000+00:00,28.046,40.358,27.279,307.0,276,False,95.683,"[None, 2049, 2049, 2048, 2048, 2049, 2049, 2049]","[2051, 2051, 2049, 2051, 2049, 2049, 2048, 2049]","[2048, 2048, 2049, 2049, 2049, 2049, 2049]",296.0,95.683,8.0,HARD,1,False,0.0,0,2,-0.6849999999999881,96.75833333333333,-2.540999999999997
1219,9158,16,8,2023-09-15 09:46:03.015000+00:00,27.996,40.569,27.264,307.0,275,False,95.829,"[2048, 2048, 2048, 2048, 2049, 2049, 2049, 2049]","[2048, 2048, 2048, 2048, 2048, 2049, 2049, 2048]","[2049, 2049, 2049, 2048, 2048, 2048, 2048, 2049]",296.0,95.829,3.0,HARD,1,False,0.0,0,3,0.14599999999998658,95.96,-2.3950000000000102
1219,9158,16,10,2023-09-15 09:50:05.635000+00:00,27.741,40.357,27.035,306.0,275,False,95.133,"[None, 2049, 2049, 2049, 2049, 2051, 2049, 2049]","[2048, 2049, 2048, 2048, 2049, 2049, 2049, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048]",296.0,95.133,3.0,HARD,1,False,0.0,0,4,-0.695999999999998,95.54833333333333,-3.091000000000008
1219,9158,16,15,2023-09-15 10:08:11.538000+00:00,27.268,39.457,26.625,306.0,276,False,93.35,"[2048, 2048, 2049, 2049, 2048, 2051, 2049, 2048]","[2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051]",297.0,93.35,8.0,SOFT,2,False,0.0,0,0,-1.7830000000000013,94.77066666666667,0.0
1219,9158,16,18,2023-09-15 10:15:40.952000+00:00,27.187,39.854,26.414,308.0,276,False,93.455,"[2048, 2048, 2048, 2049, 2049, 2051, 2051, 2049]","[2049, 2048, 2048, 2048, 2048, 2048, 2049, 2048]","[2049, 2051, 2048, 2049, 2049, 2049, 2048, 2048]",298.0,93.455,8.0,SOFT,3,False,0.0,0,0,0.10500000000000398,93.97933333333333,0.0
1219,9158,16,22,2023-09-15 10:27:05.237000+00:00,28.045,42.2,28.394,295.0,272,False,98.639,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2051, 2048, 2048, 2048, 2048, 2048, 2048]",287.0,98.639,8.0,HARD,4,False,0.0,0,0,5.0,95.14799999999998,0.0
1219,9158,16,23,2023-09-15 10:28:43.907000+00:00,28.553,41.417,27.447,286.0,263,False,97.417,"[2051, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",299.0,97.417,8.0,HARD,4,False,0.0,0,1,-1.2219999999999942,96.50366666666666,-1.2219999999999942
